graph_id,vertices,edges,prim_total_cost,kruskal_total_cost,prim_time_ms,kruskal_time_ms,prim_operations,kruskal_operations
1,5,7,16,16,0.881375,0.378708,40,44
2,4,5,6,6,0.032334,0.011666,29,28
